contractAddress,reentrancy,access_control,arithmetic,time_manipulation,unchecked_low_level_calls
0x639e35aeeb95210ef2a83fdf6a0b29872400c49b,0,1,0,1,0
0x24754ec21ef66b01d4921da2e055c90eb6f2aed4,0,0,0,0,0
0x8f7e732d2e433ec56f24b1c71b106e934d263b5b,0,0,0,0,0
0x00a4ff1125cf5ec72ba694165beaecba0afa707e,0,0,1,0,0
0x9ab7bca1aafb77b4460ecec9524998a26259bebd,1,1,0,0,0
0x0680a06aa0fca51d12afc8e00aa1da5204642bbd,0,1,1,0,0
0x658b4550b7ef6bce6a0302cb17cdc70808d77b6a,0,1,0,0,0
0xd490340494b35ec2daca1760147d301a233f4d05,1,0,1,0,1
0x882161db80a1e9ad8cdadc4ccd4078c763211cae,1,0,0,1,0
0xe51acbd3d48c3bb9e28c9e3ef5404bf7bac80608,0,0,0,0,0
0x8a878e2f264d9b1ecb19dd8b7c46b26a22eccdf0,0,0,1,0,0
0xeddf52ecf4076c19ace327203f26e16af1d4d14a,0,0,1,0,0
0x1a02da187e966ece6615d3142f505f7965463e36,0,1,0,0,1
0xa498a647c1ac49726e45dac31b3629fb0f26f892,0,0,0,0,0
0xdb2b5b52a0f94833734f83ae7518b69c64773031,1,0,0,0,0
0xadd127454b4667a20f1fa2261bd2b5ff4891e5dc,1,0,0,1,0
0xd909f03fdd9e4a62bce19a285ed7361c5c8a4b57,1,0,0,0,1
0xffb013ce94e1af408461c58790dd2cfb8a5f1b46,0,0,0,0,0
0xd5a148fd28cbc938e019bb8723d39553ccaccfab,1,0,1,0,1
0xc94c8286793b2b023a60e4e81e11e3f79aa76690,0,0,0,0,1
0x869002b6d08b5ab9315bd0e3a34bff2aaf438c6b,1,0,0,1,0
0x346eee21f5c7ff43fc2770c7173601e1c771d814,0,1,0,0,0
0xd32b32732b89994fa6022136ced620104d159e84,0,1,0,0,1
0x3e5617d266908d35e59c7a80268422c922202b24,0,1,0,1,1
0x22598514f31c827129084bb54b8bb53759c0767c,0,0,0,0,0
0xde13628bef7a127f6c31d175a632f8ee42ea368b,0,0,0,1,0
0xf8500f17f4b4ca1b570e2e619e469a62c050bf72,1,0,0,0,0
0x38d444a157d52ed8748d31d3092954d2c93e7fb6,0,0,0,0,0
0xc47bbcfb4768314cd2feabbda5f05cb39676b985,0,0,0,0,0
0xa1285822184aaf4614dc90792f3246ee72fd4066,0,0,0,1,0
0x78da1070796e656984517ea9ca91a291a7457e06,1,0,1,0,1
0x7eafdbea13e284142e192ad24c3119432a5d575c,0,0,0,0,0
0xd107b0811a7a8b9bbcc9370d715498acd947a1b5,0,0,0,0,0
0x2fed0766bb31ed04d259b3717bd5c2d6a9a5f04c,0,0,0,0,0
0x757563e68d1f0e22d4ae56ad7675dbd9956e246a,0,1,0,0,0
0xd9504bca7a5c59340afef8b0baf3a8c80bc2b08a,1,0,0,0,0
0xfcd25491215310a53e5356b6b3dacd8e7f05554b,1,0,1,1,1
0x414f5c500bd6cdaf5ac6860aa8a5f82f14d2d9d0,0,0,0,0,0
0xc83de82eb31f96288b6d8eacf314914bc781ef02,0,1,0,1,0
0xef29a54358a557f78817592ce63dfa1c7ef6853a,1,0,0,0,0
0x5b669972d0626373936081d28a0db506573638ac,0,0,0,0,0
0xb84554433593fde017d4707b72fcdaf171e71562,1,0,0,1,0
0x6d8e27e07c36d29ba78a71cdd24221683cf863fe,0,1,1,0,1
0xa7178b5bd85ee5042d74833c27041b29ae696fa4,0,0,0,0,1
0x3ebf7c99c18fa6eb9eb2b67d8b081abd1d97aaf3,0,0,0,0,1
0xc5c0b3aa41660793677fa31a2e376e9db073ac7d,0,0,0,0,0
0xe9bb53f3b967cba892b3ba4a3a5d0b7c056ebc87,1,0,0,0,0
0x4f3489967ea4bfe513214825007e2e756aa04ab2,1,0,0,1,0
0x792f4cece6788749c1736ebebf0bc65bfc54d5f6,0,1,1,0,0
0x9844593dedd634d54a7dc843565f6ef306e13d69,0,1,0,0,0
0x8f5809e7b7d3703a3ef076b1acdc79d2edf85dd6,1,0,0,0,0
0xa7a24129199532290b5cd33e9fec3d7c6afcc831,1,0,0,0,0
0x6249de87a13d9133d268f95d09ea9823fa7b3a99,0,1,0,0,0
0xccd6b9ccc6c4ae12725b8efa9b555246fa3447a9,0,0,0,0,0
0xc4e8bc562ad69a1b31a888deeeea35374646fa6a,1,0,0,0,0
0x0031dffb3ca0c8d2fc3f3c3fd03f91d80f7bec39,0,1,0,0,1
0xecb4e59b08f1350c2aa24c4913e4f3649701835e,0,1,0,0,0
0x47e1de30ca67dbeb4c29d9936dae96f9c23e2ed8,0,1,1,0,0
0xfb6d0ed62279c6dbedbc37293edbd57da8cafe1f,1,0,0,1,0
0x49b24ad7312fa1c8be785e55eb4c269b873ac7a0,0,0,1,0,1
0xb9f7796bfbc200caf6d6f1f6af0894e69f569ca0,0,0,0,0,0
0x645d93b4398d8e9a807a7a6d8a0990846b3ba35d,0,0,0,0,0
0xf61a128b3f4534c496af2fac6b0ff663e73a436a,0,0,0,0,0
0x8184e6674084fdb0dd13f1c4ff54c4d88273eb35,0,0,1,0,0
0xef51b6a36e33a4180fd14add2d7bc4d8b92e0a3c,1,1,1,0,1
0xd62ef430dd737ea6a2e5a2a038d5a1e3a6594888,0,0,1,1,0
0xa6c844be645a80d5282639fa798b1310582d67fa,1,0,1,0,0
0x75953507bf4de51b20a401549935d49a54e5ec54,1,0,1,0,0
0xa1483bba4ee1a9a3a1bcbbe842926d1195d24734,0,0,0,0,1
0xcf807a9f1bd4e4a0f40afcb0f13f22ca78e2ee9b,0,0,0,0,1
0x50f578b3a0bbc3aaa94502ea730b6d8a8028b2c8,0,1,1,0,1
0x28b342ee758af8d62014ea5dd9d602448e500ba0,0,1,0,1,1
0x73e6273773e3adaf5cf5ace533ef327b42dffc4d,0,0,0,0,0
0xe0c21d6046bda6b68607a119030cdeb0e415ea8e,1,1,0,0,1
0xb022e0d3f2380c27c73a0d5025775aac1bd4f690,0,1,0,0,1
0x7dc78b4ae5e8e1967f9b04237405f508bc6f087a,0,1,0,0,0
0x3e30a56c2069235eb36c868c3d78cd3d5548446f,0,1,1,0,0
0x23b7dabcd519665ce7df72fdd89d8f1efb0f5993,1,1,0,0,0
0x7a1429bdf9cb6877f85f36f2d8233bf7f2fb84f4,1,1,0,0,0
0x6f47f8e03c8793918574e4f046b991ae27c8e483,0,1,0,0,0
0x3fea2a23c3a1781ab3f7f366404002588633a705,0,1,0,1,0
0xcbf172e1bdecd51af0408afe2938407cf7ba849b,0,0,0,1,1
0x0b91e1fc0ab620fb752c0bc311ce041b325628ed,0,0,1,0,0
0x7559fbc28f189323f4a1df652f4993ef4c0bc182,1,0,0,1,0
0x1f871a0a8633b923e7b81726cd9bba602f26bf06,0,1,0,1,1
0xf111ea25bcb26ee8f4642cd11d4148d3eddac816,1,0,0,1,0
0xf4b55a7775e4822fde2bfb322c2b9b806427be5d,0,1,0,0,0
0xb98ad4d4f8638d981264a124f6c596176412fb3f,0,1,1,0,1
0xd50df16f263c2e71e5cf2d9e1cb78f134a0fec9d,0,1,0,0,0
0xde5d53e2fbb325be6f4f56a7ed9fc0dc7fdfbf06,0,1,0,0,0
0x955d5242d19e082c8f245f50ab146211568036ba,0,1,1,0,1
0xbe3f25f27556a376a0a2bb2b9b7c84790482a0ff,0,0,0,0,0
0x16eca5cf68f5a8250e9d6be1298e419d48dbeb03,0,1,0,0,0
0xd3276a2127a74ae5427f2013e484ba1c899da353,1,0,1,0,0
0x31f793c2f13b7413d49f7cf6c51a6f8866e0c461,0,0,0,1,0
0xedcb5b4016aa5ff4d77a0a806987c4007129d427,0,0,0,1,1
0x9a11346c863441e850681fbe05b4def16fd6ac07,1,1,1,0,1
0x8f9c2910a29d223a6457d4b5cd02d1034539a703,0,0,0,1,0
0x8d9c1c2d43c8c0c16770659b3023b2e016aa4020,0,1,0,0,0
0xef70961ca8d4bd4b6fada164e125c4db18767a03,0,0,0,0,1
0x51d68fb548aaa0729a3671fd653e7d43942f04e6,0,0,0,0,1
0xd0186fab38a2171b7429ef3038e8abd8ed7ba1c9,0,0,0,0,1
0x7857f0f1f2ca74d343a8dc171a1aac90b5fc89cc,1,1,0,1,0
0xcb07f0f5eefb37e6a198c9f921b5c4b7c5e92003,1,0,0,0,0
0xcb76def94f73c8dbb4c50a9b0419e90b0af24f5d,1,0,0,0,0
0xbfedf7571ca96bf38709027cfcce7bd9ba4d6152,0,0,0,0,0
0x1a8b6c612dd0ddb7d505d4f696831398a5e92b2a,0,0,0,1,0
0xcd12b1eafc9cbbadc62b6f79373f677f79a8ce6e,1,1,0,0,1
0xf8917fb2233fed3a62e38e1076e5233612a5c703,1,0,1,0,0
0xf4c1831864596b72d3b994d8192419bd3a93c3e0,0,1,0,0,0
0x8dfe19f96171d34b5c0c2e3213b6e3549fd2bd4b,0,1,1,1,0
0x4f3a16d3466c5fc7ac1fd03e9cef1d2ca6a428ab,0,0,0,1,0
0x0a2bdaa35e854b0be33daded451748a2b8ea8d45,0,0,0,0,1
0x93830dccee320a9642c2707d6140968ec5d59be7,0,0,0,1,0
0x5caee3af29f5d8cfdd2a58efee070ce909ce1144,0,0,1,0,0
0xce9e5e20d37090bfb3328b2ec3f826b79dc31436,0,1,1,0,1
0x31ca0dd91b6bed40fc8db9cd0340efee9030f1fa,1,0,0,0,0
0x2baff52e005cde4eda40551931a5c537de3e34ba,0,1,0,0,0
0xd1c791e3ebc149d4f5fc98d669d798dbf7ab95e0,1,1,0,0,0
0xdacc64abea0eef60241eda6ddadb6e0bbf7de377,0,0,0,0,0
0x77405f676c36ad37bf675fe49700d6dc8cff6403,1,0,0,1,0
0xde164aeb01b8d53dd404b775e405ddda35869814,0,0,0,0,0
0x2c8e7d2b7e19313cd4f9ad33c89d5f3dbb0dd70d,0,1,1,1,0
0xb32a1031a827df29e201ebb73846ceadae85b888,0,1,0,0,0
0x93a5386ca6b0005d06fa0f6fe51fb27d257ae6aa,0,1,1,1,0
0x368ac4daabd6c2dbb73215a9892bdfc0fb356422,0,1,1,0,0
0xcb7b1e38c1d9da7fa276a0845378bdc251610990,0,1,0,0,0
0x5d48f2367115f1d02141be8a4ca2a87d0c78c502,0,0,0,0,1
0x6b25a98f403739c6acbdfd389b5686239a5ef4b7,0,1,0,0,0
0xe85b721d9d4fa716e32aa7cd8b9d5399eee94929,0,0,1,0,0
0xeb632a3d436e6f7dcc6e695973ce8cccdaec774e,0,0,0,0,1
0xffd670cbcea772a18cde049ac8b3a235c912396e,1,0,0,0,0
0x12baa0423fe2ed717c0978499eec902bd4159152,1,0,0,0,0
0x2f97e03272c116add52a45d7112338b538e2c37c,0,1,0,0,0
0x77d74d76d5bb687389f5031464f50bb228459ff9,0,0,0,1,0
0x0a4b5e8f2a6de535be93ab620cc4f22409d5b836,1,0,0,1,0
0xa211e8c463f468a503f8c45100913102c16e7b84,0,0,0,0,0
0xe83db6dd4d0d3ce178d074056e69fca75c495a31,0,1,0,0,1
0xa487d278a0781ec600b52d1791548588b5fb4582,0,0,0,0,0
0x6244e156bf4a2a58049d345627f0b8a6ee907c13,0,1,0,1,0
0x2a14937157a81fae83d54b1989fea7be4e573c9c,0,0,0,0,0
0x986b7933520570a5e140885c8708a73ca3304f51,1,0,0,0,1
0xe90ccd240dc842c71b9fa2d7d6457589ddce1aa3,1,0,1,0,1
0xeff01ba94e8e4512fadb8ee2f24401c3e04a0ac1,1,0,0,0,0
0x965cb77665674677d17e47f8dd65b1a2f06819f6,1,1,0,0,0
0x8ea6815bb982658f71e757571e8d2d871c0647c8,0,0,0,0,0
0x7cec86808348b72cc2de8b97cc7980e4893460cf,1,0,0,0,0
0xec587363a6990953b62092aa7efb5a912e03e645,0,0,0,1,0
0x271965624f25f5d4a25fc909b2e45ae6a23b61b5,0,1,0,0,0
0x8dc870c892e0d67cc5fd9d1dc9eb74ff0ee0645f,0,1,0,0,1
0xf16b5f10127ed398fe37c9056e17ae7bfadabf59,1,0,1,0,1
0x426a86a4abcce7a96f1ca91e6ec7755ad92820e5,0,0,1,0,0
0x64a66fb1b337fb21ead7b5ccd7ff80168e832dea,1,0,0,0,0
0x77ea96ba931933f49a3e2880710f3727d0ccbf8e,0,0,0,1,1
0xa050c21d48f7eb06852102364c79780db2fd0fe0,0,0,1,0,1
0xc89663bbc0b367b148f0ef832da777f49fb7b84d,0,1,0,1,0
0x4ba873091a075a6f156935464abc32f23ae55ecf,1,0,1,0,0
0x43794a1a3c252794baaf2de89d2b7f2c91ff3ada,0,0,0,0,0
0xad2016467e1d5cb2aac543c63b09d2d6d41d5ce0,0,0,0,1,0
0x3223b7abcb74f75e84abad54a27c0d7bf49fc6a4,0,0,0,0,0
0x8c07a8d0632a1654afbd862d71259488e65cf81b,0,0,0,0,0
0x6f23e7398df1032672b5e57f2319eaa1273c6dbb,1,0,0,0,1
0x3410000f421d1a6531b41468e403dcc29a70cfc5,1,0,1,0,1
0xf44014529931675d68743d03ce660cfeb16f166f,0,1,0,0,0
0x151dacdae7efd85759bbcfb44c71eef8ec6924db,0,0,1,0,0
0x806c08e0eb6c6e914f31f95465be43d5108573f5,0,1,0,0,0
0x2a0795f6b215ac791862dc084ee0078fc140816d,1,0,1,0,1
0xacdeefa6e157d2cb9226577a775c87c1aa8048f9,0,1,1,0,0
0xb0f4335e690a51e91b7c325f51a919d301c8710d,0,0,0,0,0
0x3fc5bd56f140eeab2c02e7569f329ae0d8c996f4,0,0,0,0,0
0xf587ca13ea6b7ffbf02776a3976e89efd1f49944,1,1,0,0,1
0x56827c235f4bb7e094f86d8cb419b01a9f204e29,0,1,1,0,0
0xf61f75b1b66981710d0a4ade46dc5470325db085,0,0,0,1,0
0x2b7ae17c6bab4e222dd6a9ff5b9c5959442a218e,1,0,0,0,0
0x5471119b62a7c1a5d7c823297dc7ad70989a388d,0,1,0,0,0
0x9d2db16e08f66c9cdd69269da529adc3b88621ff,0,0,0,0,0
0x93bbaa92603048517a6f80978b1a46e24436359e,0,1,1,0,1
0x4722cd492e24ebcfc6d5f1e6d62f35b2489c3613,0,1,1,1,0
0x421c76cfe6e0c97b9cc3242b6c6ec9ec2c84f1b5,0,0,0,1,0
0xf05e2beea7cc395f768972d745129ab71d4777b9,0,0,0,0,1
0x328507eca1b8363bdd629ebea7b694e2dc252c62,1,0,0,0,0
0x256f4a77d16a1b0130aeff129497fbdda9e40d5c,0,1,0,0,0
0x303a557f63ee944e668e4ddc73b39c67a6f09881,1,0,1,0,1
0xd8572f6ec0b02b8e64896a411f14b9b0ef9ba8e3,0,0,1,0,0
0x3e19b3eb097ab4aa79f1827827715dbe274f8480,0,0,0,0,1
0x94abe883d4be30ede898a3d4cccc0cb305a045fb,0,0,0,0,0
0xac5f2b9d5301795f33d4ab3006fc9a98cbcf5b10,0,0,0,1,0
0x786588918db27ac6c6a0a66e107cbe0f392e049e,0,0,0,1,0
0x64836e24cb72d1b9c1dcc53c3754d90c144f5013,0,0,0,0,1
0x2a9da4e77ce0b7aab3884457b246ab402e776252,0,0,1,0,0
0xa6ad1a9d1023fcc2130d54f91d2a71929b75f8a6,0,0,0,1,0
0x080f14e07e764fa09b918db627651ea85ad65cf8,0,0,0,1,0
0xba6be2bee3303f186403529e6abfa6472b073e54,0,1,0,1,0
0xcffe516da895600dd585d9b8fc5b5e219d82a44d,0,1,1,0,0
0x2a30718b2e0570c3f7407d7114766bbf0dafed74,0,0,0,0,1
0x8a74a34e7c7a1535cff864411d40434b1bd114fc,0,0,0,0,0
0x535f507d46cbb8880be99900c1e2d743ece6004c,0,0,0,0,0
0xeec493628b57ccf0a56f5b41b4e7a7b5de5aba97,0,1,0,0,1
0x0dcba57fde7b6a672ffa9aea2ee72ffbc91afda8,0,0,0,0,0
0x03863a158abbe281b45c87d3b4a9bb89fab6d815,1,0,1,0,0
0x46985e8293b3ecdbb2d0adc26a42310717dd778b,0,1,0,0,0
0xa1587c8a0f74ee22c6817dd174374d515f190e58,1,1,1,0,0
0x42c7573027cfd74fbe15e7a741f9aa585e2373ab,0,1,0,0,0
0x87decdaf5a00a6d95b5654210a34f97d5b193d19,1,1,0,0,0
0x7ea1dd149ed1b3e379cf8eb8de4155bccb905c12,0,0,0,0,0
0xf7ce9a6d19fc8ddf0f6d7953a4e642450765bd34,1,0,0,0,0
0x2da3423e0574d27ca3bc0e719fac22f4d9d84055,0,0,0,0,0
0xbfa22e123ca3de51e8cd574af8a6121f4465a71a,0,0,0,1,0
0x15d9fab0b73c068154b2ce94db838e0dd6d99ad8,0,0,0,0,0
0x298f204687463ab781744f1f663edf64d6c136ff,0,0,0,0,0
0xcb9f4e1a4a95e37965de7c801ef9100c992d9c67,1,0,0,1,1
0x8e493060a4e73e3d0f9c6511af9cd9bb3480b06d,0,0,1,0,0
0x9d4fc7a0b8fc7e331897d2cb6578c91ad0263dd6,0,1,0,0,0
0x3b3aea1255f31ad0c17dd81f230645c4d7df1270,1,0,1,1,0
0x7bad478a46ba16db03bb85076e7a35872bf84054,0,0,1,0,0
0xb1e65554daaf3bf519ae15b9597eedf0eee5989a,0,1,0,0,0
0xd63dfd97ef6120028e09f52ef549ac74ab01ef40,0,0,1,0,1
0x8c9f2374f63052e0be52f89f687d82c39498fbdc,1,0,0,1,0
0xcd839ac241d2abaa5486a508bcd409a0d5acceb2,0,1,1,1,0
0x42179ad4fe829672a9a57ebc7b31c986cc2b8396,0,0,0,0,0
0xb9aa51bbcdf64fc562abfef4c6121aba106e7329,0,0,0,0,0
0x47ab8711718f0d7516a2fe74393ac897c49250ae,0,0,0,0,0
0x36a65f55f31e95fe5a2319fbb9985dc802cbbde1,0,0,0,1,1
0xc42fcd15a82c7790770528e070a6bcd38e751def,0,1,0,1,0
0xb0782154a365b0e2f2a0330daffcc039e003ea53,0,1,0,0,0
0x575666c7a7fc4675c52487252b5ac767961be777,0,0,1,0,0
0x8cbbb28172b7b696a74797d33f2225dad171a8b5,0,0,0,1,1
0xd475b4f50d161ccda7b8303c65cef363dd5bb54d,0,0,0,0,0
0xf9095e38edb4f7ee3b02ced1f906d528126c90f4,0,0,0,0,0
0xdac3e8750ceabc25bce4c7d28d756d8d73b0bfff,0,1,1,0,0
0x90eb18f637225b825e6abb4457fa77c98a7ed2ce,1,0,0,0,0
0x89eda393cd905ac524161f67fc5426d67580eb99,0,0,0,0,1
0x90c06ffa42695526972988ecf9be181c19bf982b,0,1,1,1,0
0x8e83db17f1a1972c7e22866b90d6a92fc89f05eb,0,0,0,0,0
0x1717b8467b81b80eabed869a99455b0e57c7ce36,0,0,1,0,0
0x1a9f9987dcb057aa6a2dfb20df7c85fa215101c0,0,1,0,0,0
0xbc46d917aafebfbafd4e5c1a5ebb5cb37d8e3e37,1,0,0,1,0
0x01d5c7f5a51e0d0080ac184f3e2676a139338c58,0,0,0,0,1
0xd35fc9083f09578978c568141cb70737fee3dd22,0,0,0,0,0
0x4d42a8c278ceed5ba24ca11a2a124b2ad51830e0,1,0,1,0,0
0xc70a968cd44f51fd636e4f25d0da3eaf8ccfd2bb,0,0,0,1,1
0xd48fb6b308f29c3298036ce69a3183ceece24b02,0,1,0,0,0
0xb3edfa342d777e91ac3234e95c8015cb0f197eda,0,1,0,0,0
0x8bbda7e9128b71f9fcce50933b071faef61ed663,0,1,1,0,1
0xf86ee55ec65c834452e88552fd99946f43444c99,0,0,1,0,0
0x8ae2ec2d7f5f6234d5dad509c9479cd95ee97087,0,0,1,0,0
0x5202943d225363765b83d9646c22b92df992c5c6,1,1,0,0,0
0x9b8438c9ff43a49e45ca44f264ebcfbb31cb3917,0,0,0,1,0
0x5ba04f0516d13e33c915646c73fb2e82c7ffe7c9,0,0,0,0,1
0xf959d1a9ea19a37eb04a837c6d58d49d044a9426,0,0,0,0,0
0xb00ce437b852f92b46001325f3a71f12467b0cd8,0,0,1,0,0
0x3df1cb2f5b22d84e39b7c41e1eb1a2a4c017720d,1,0,0,0,0
0x04a9530ea35e7241a821796c0b8eaef80167462a,1,1,0,0,0
0x95f73c9c83c02f28e2d1256a5830da68200284f4,1,0,0,0,0
0x0ea83b34967687f04c49aa293a1999a952a2c9fb,0,0,0,1,0
0xd518efa94bfd4dc0ce442001aaa4c6a2b7e1cd41,0,0,0,1,0
0x80f3c23c055108b2e5ce2a6b69bff69ef53bee0d,1,1,0,0,1
0x3106ef6b6c922c1ffe42b3a22ec772d7e4a44f51,0,0,0,1,1
0x0d9f5f30379748685df03ab4362283afcf62b13b,0,0,0,0,0
0x93b3a15c5a448259a7aea1c1d22a284370baa453,1,1,0,0,1
0x4b990f6b4e71537b35f079f879d938405d0a9bd0,1,0,0,1,0
0xca7c430ffd0489dc17204041e6b9d39996beadd0,0,1,0,1,0
0x51da8c011c0258770aec78da6289c5a33a02ba79,1,1,0,0,1
0xbf9dba6e7ae50b3da40cb3281803442c1237c4ae,0,0,0,0,0
0x32ca0df1e8f55fc67bddf714246f561f06422dbf,0,1,0,0,0
0xddcf906ca5d5183cf273eed1462dc134cc24cce5,0,0,1,0,0
0x7d921c5b4f10ff2b0e4df99f941339196ce7cf63,0,0,0,0,0
0xe550f62af98f7fda39cad4760ea749a8a780a662,0,0,0,1,0
0xc4ad626f183d2a08b408ed468d556f3ab156bc7f,0,0,0,0,0
0xa4aef7a9033602a2ee3a17e9b1f55682f66f9bab,1,1,1,0,0
0x26ef4734f3173bf353aa42682e4d5d3fe40cd624,0,1,0,1,0
0x52317c410e1ee698fcdebad996eae1dfec9642ee,0,0,1,0,0
0xf6383e1398bf9ce01ed5ed9c2f9a2b7492885623,0,0,0,0,0
0x40fa06aa6af17b39bdc378b71be3e4a7cea9beae,0,0,0,0,1
0xdad535a59f4fe30e3b13d433f0d8bcd061d1de67,1,0,1,0,1
0x22c2da12c91872444e4304b81090829addeb55f1,0,0,0,0,0
0x6e082f425c1a4ce61be4a967a11214ee154c2c92,0,0,1,1,0
0xa45708dccf17945386b988572495e1f3a6992e71,0,0,0,0,0
0x45ddd9d1b0144b721300708b0b8dd62f0a0c4fb9,1,1,0,0,0
0x8885e138fd96f826705a59cfa9831e21aac75a9c,0,0,0,0,1
0xfb74ce9b4bfdc350d5c2db1330da2532764345da,1,1,0,1,1
0x8750497ea41fbd7de0d19a0136f159e593de053a,1,0,1,0,0
0x0364c3b86bfb2282500a9f7ff459046bd06eb322,0,1,0,0,1
0x139c2f940aea8c5104f5d9addd45261f5f1c0c56,0,0,0,1,0
0x16727d9c626891c6f34c30d800ab87e6430848a4,0,0,0,1,1
0x3aed1104bd7ff836c0bc0e5a2809ccda4f0db98e,0,0,0,0,0
0x9c833a1510945e8304feb65bf3cdb385c3d5a46a,1,0,0,1,0
0xe760b003b269fe9bdfc02e1537f745307173e4fe,0,0,0,0,0
0x03f655d0ee3e624afc38b301fb4a73db6f561bd5,0,0,0,0,0
0x9acbe68d726dedcf6a4af1853b456cf91f9e5ee8,0,0,0,1,1
0x98cd219073d07ebc4fa6cd746928080cccf5f770,1,0,1,0,0
0xa0a3ff9e1b1d1ba99842ed816b5de422caa979db,1,1,0,1,0
0xaa7abd0d996711266ddca159cba7ae962f6a2b60,1,1,0,0,0
0xd7ac17430e681662e5bda29dc2b24e9208110625,1,0,0,0,0
0xfad2021fd7c658b02fe4cb4e229e8ac13a919e2b,0,0,0,0,0
0x8bbc18599fd498dac5e69f5c2cf3e2bdb2869247,0,0,0,1,0
0xf12d73064440d1bf38fcc35f6e43e7b71f4fe2ed,0,0,0,0,0
0xaffe0078a8f583f188c9142d4ea308d2c0878260,0,0,0,0,1
0xcba5770c8d4193a0814a68e436399d6fade32e88,0,1,1,0,0
0x5e5280d90f842dd0a8d10cea627c0ea894c8e019,0,0,0,0,0
0x6631a7fb8f5cff0e3709b29496ce69a784d04a61,0,0,1,0,0
0xb41e2bb2c09f83f6868307c6a467f81dded5c1cd,0,1,0,0,0
0x727a0a6f0f81830038ddb0d5dc2df03f5d70cbf0,0,0,0,0,0
0xb8b3547a78dfb59fa22e2d59bb6d467e7c715dd4,0,1,1,0,0
0x056f49e01c2ffcf94e4a1734e64246422eaa52ee,0,1,0,1,1
0x438e18bdfb6fa40cc556072bca3a3c9a41d4ec5a,0,0,1,0,0
0x6c51709886e71768f7c679069535de7a5f2fb56c,0,0,0,0,1
0xa04a3d5c867ac985af531a783b6f680e8b3e0aee,1,0,1,0,1
0xd8db8eec6e09dd87eea6551ba8d928d7887c131a,1,1,0,0,0
0xdfcc1390cb459061d92a3ea285f9afb3fdb74f13,0,1,0,1,0
0xb31f3a522e8c9d12cd406788a4dadd805c9a8079,0,0,0,0,1
0x689f8d608517871123f00d34dd74d4e47afbc195,1,1,1,0,0
